Timestamp,Barometer (kPA),Specific Conductance (uS/cm),Dissolved Oxygen (mg/L),pH_1 (Units),Temperature (C),Comment,Site,Folder,Unit ID
8/20/2015 7:44,97.7,511,7.36,8.65,21.9,,MEDH,0,POSEIDON
8/20/2015 7:44,97.7,517,6.21,8.65,23.1,,MEDH,0,POSEIDON
8/20/2015 7:44,97.69,517,6.4,8.65,23.2,,MEDH,1,POSEIDON
8/20/2015 7:44,97.69,517,6.31,8.65,23.2,,MEDH,2,POSEIDON
8/20/2015 7:46,97.69,517,6.43,8.66,23.2,,MEDH,3,POSEIDON
8/20/2015 7:46,97.69,517,6.43,8.67,23.2,,MEDH,3,POSEIDON
8/20/2015 7:46,97.68,517,6.61,8.67,23.2,,MEDH,4,POSEIDON
8/20/2015 7:47,97.68,517,6.5,8.68,23.2,,MEDH,5,POSEIDON
8/20/2015 7:48,97.72,517,6.62,8.68,23.2,,MEDH,6,POSEIDON
8/20/2015 7:49,97.72,517,6.54,8.67,23.2,,MEDH,7,POSEIDON
8/20/2015 7:50,97.71,517,6.55,8.68,23.2,,MEDH,8,POSEIDON
8/20/2015 7:50,97.71,517,6.54,8.67,23.2,,MEDH,9,POSEIDON
8/20/2015 7:51,97.71,517,6.42,8.67,23.2,,MEDH,10,POSEIDON
8/20/2015 7:52,97.71,524,4.35,8.47,22.8,,MEDH,11,POSEIDON
8/20/2015 7:53,97.72,558,0.46,7.78,17.5,,MEDH,12,POSEIDON
8/20/2015 7:54,97.72,569,0.41,7.71,15.4,,MEDH,13,POSEIDON
8/20/2015 7:54,97.73,571,0.39,7.69,13.5,,MEDH,14,POSEIDON
8/20/2015 7:55,97.72,576,0.4,7.62,12.1,,MEDH,15,POSEIDON
8/20/2015 7:56,97.72,580,0.39,7.57,11.6,,MEDH,16,POSEIDON
8/20/2015 7:56,97.71,587,0.44,7.49,11,,MEDH,17,POSEIDON
8/20/2015 7:57,97.72,584,0.42,7.44,11.3,,MEDH,17,POSEIDON
8/20/2015 7:57,97.72,590,0.42,7.41,10.9,,MEDH,18,POSEIDON
8/20/2015 7:58,97.72,607,0.41,7.35,10.7,,MEDH,19,POSEIDON
8/20/2015 7:58,97.73,646,0.41,7.05,10.6,,MEDH,20,POSEIDON
8/20/2015 13:15,98.04,516,7.07,8.71,23.2,,MEDH,0,POSEIDON
8/20/2015 13:15,98.03,516,7.05,8.71,23.2,,MEDH,1,POSEIDON
8/20/2015 13:16,98.05,516,7.04,8.72,23.2,,MEDH,2,POSEIDON
8/20/2015 13:17,98.05,516,7.08,8.72,23.2,,MEDH,3,POSEIDON
8/20/2015 13:18,98.05,516,7.01,8.72,23.2,,MEDH,4,POSEIDON
8/20/2015 13:18,98.04,516,7.07,8.72,23.2,,MEDH,5,POSEIDON
8/20/2015 13:19,98.05,516,7.11,8.73,23.2,,MEDH,6,POSEIDON
8/20/2015 13:20,98.04,516,6.96,8.71,23.2,,MEDH,7,POSEIDON
8/20/2015 13:21,98.05,516,7.03,8.72,23.2,,MEDH,8,POSEIDON
8/20/2015 13:22,98.05,516,6.98,8.71,23.2,,MEDH,9,POSEIDON
8/20/2015 13:23,98.05,516,7.04,8.72,23.2,,MEDH,10,POSEIDON
8/20/2015 13:25,98.05,518,6.59,8.67,23,,MEDH,11,POSEIDON
8/20/2015 13:26,98.05,518,6.54,8.67,23,,MEDH,12,POSEIDON
8/20/2015 13:27,98.05,518,6.62,8.68,23,,MEDH,13,POSEIDON
8/20/2015 13:27,98.06,572,0.12,7.71,15.3,,MEDH,14,POSEIDON
8/20/2015 13:28,98.05,572,0.11,7.7,14.2,,MEDH,15,POSEIDON
8/20/2015 13:28,98.04,571,0.14,7.68,15.4,,MEDH,16,POSEIDON
8/20/2015 13:29,98.04,566,0.08,7.7,16.8,,MEDH,17,POSEIDON
8/20/2015 13:30,98.04,573,0.11,7.61,12.9,,MEDH,18,POSEIDON
8/20/2015 13:30,98.04,585,0.09,7.42,12.1,,MEDH,19,POSEIDON
8/20/2015 13:31,98.04,705,0.09,6.94,11.5,,MEDH,20,POSEIDON
8/20/2015 17:41,98.17,515,7.76,8.76,23.3,,MEDH,0,POSEIDON
